Year,Yield_barley,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2003-01-01,57.0,0.23,0.69,3.48,1.0,1.45,2.54,0.74,2.86,0.12,0.15,50.71,41.32,52.74,66.33,72.13,77.4,96.97,91.06,76.8,72.35,34.55,26.89,39.44,51.65,57.76,63.8,78.63,74.69,60.1,54.76,18.39,12.46,26.13,36.97,43.39,50.2,60.29,58.32,43.4,37.16,70.0,73.0,79.0,82.0,97.0,91.0,104.0,100.0,89.0,88.0,7.0,-11.0,2.0,18.0,31.0,38.0,53.0,50.0,28.0,19.0
2002-01-01,46.0,0.31,0.28,0.98,0.26,0.91,2.21,0.14,0.66,0.87,0.69,44.87,47.93,49.7,67.17,73.52,89.37,94.45,89.74,79.83,61.32,29.08,30.89,33.42,49.32,56.23,71.78,76.84,72.48,63.98,45.68,13.29,13.86,16.94,31.47,38.94,54.2,59.23,55.23,48.13,30.03,68.0,75.0,73.0,86.0,95.0,100.0,102.0,103.0,95.0,86.0,-5.0,-7.0,-15.0,17.0,21.0,44.0,53.0,46.0,38.0,14.0
2001-01-01,26.0,0.38,0.56,1.61,2.25,4.57,1.03,2.75,0.99,1.53,0.26,41.97,44.0,51.39,63.2,70.03,85.03,92.19,89.3,82.77,67.94,28.29,30.22,38.24,48.12,56.02,68.02,75.32,72.7,64.64,49.67,14.61,15.89,25.1,33.03,42.0,51.0,58.45,55.77,46.59,31.57,63.0,60.0,69.0,81.0,86.0,97.0,100.0,97.0,93.0,84.0,-10.0,-10.0,12.0,20.0,29.0,36.0,52.0,46.0,35.0,14.0
2000-01-01,46.0,0.29,0.36,2.0,1.44,2.07,0.72,2.84,3.5,1.48,1.29,47.13,54.14,53.94,66.62,75.61,84.83,92.61,90.67,79.1,66.48,32.19,37.28,40.26,49.36,59.08,67.9,76.03,74.23,62.55,51.13,17.26,20.41,26.58,31.9,42.55,50.97,59.45,57.8,46.03,35.77,65.0,72.0,73.0,84.0,96.0,98.0,101.0,99.0,96.0,85.0,-4.0,6.0,19.0,17.0,22.0,39.0,54.0,52.0,28.0,25.0
1999-01-01,53.0,0.38,0.33,0.32,5.12,4.44,1.17,0.77,2.35,0.98,0.31,46.19,54.68,60.06,56.47,68.16,79.67,91.1,86.6,75.7,69.81,32.56,36.82,42.65,43.43,54.66,64.33,74.56,71.13,59.43,50.06,18.94,18.96,25.23,30.4,41.16,49.0,58.03,55.67,43.17,30.32,64.0,71.0,78.0,77.0,84.0,94.0,100.0,95.0,93.0,85.0,3.0,3.0,15.0,18.0,26.0,38.0,52.0,48.0,26.0,15.0
1998-01-01,40.0,0.16,0.53,0.53,1.06,1.46,1.22,3.75,0.32,0.64,1.8,44.35,46.64,53.45,60.5,78.39,81.8,90.77,88.6,86.27,65.26,31.9,35.12,38.34,45.9,61.08,64.62,75.48,72.57,68.27,51.13,19.45,23.61,23.23,31.3,43.77,47.43,60.19,56.53,50.27,36.77,58.0,65.0,80.0,83.0,92.0,97.0,103.0,98.0,101.0,81.0,4.0,16.0,1.0,16.0,35.0,33.0,52.0,49.0,41.0,25.0
1997-01-01,40.0,0.58,0.46,0.43,1.29,1.59,1.99,3.92,4.82,0.19,2.47,40.19,45.21,60.26,57.1,73.39,85.0,93.37,84.58,81.73,66.94,26.21,32.73,41.82,42.17,57.18,68.79,75.13,70.65,65.15,49.89,12.23,20.25,23.39,27.79,40.97,52.59,57.06,56.71,48.57,32.84,73.0,70.0,85.0,81.0,92.0,98.0,106.0,97.0,95.0,91.0,-19.0,7.0,6.0,3.0,21.0,43.0,44.0,52.0,32.0,-3.0
1996-01-01,77.0,0.4,0.13,1.06,0.94,2.89,1.56,4.86,1.96,2.55,0.32,42.9,49.9,52.06,64.77,73.94,85.47,88.74,89.0,76.07,68.42,26.44,34.5,36.4,48.08,58.34,69.27,73.23,72.35,61.65,52.06,9.97,16.74,20.74,31.4,42.74,53.07,57.71,55.71,47.23,35.71,67.0,72.0,80.0,87.0,98.0,97.0,103.0,100.0,95.0,88.0,-14.0,-25.0,-2.0,19.0,31.0,41.0,49.0,50.0,28.0,17.0
1995-01-01,78.0,0.4,0.48,0.59,2.45,5.08,4.07,0.91,0.76,2.37,0.45,43.48,51.39,54.81,56.23,60.84,78.1,88.84,92.29,78.3,65.45,28.66,35.31,39.81,42.97,49.73,63.62,71.34,74.75,62.62,48.4,13.84,19.37,24.81,29.52,39.47,49.13,53.84,57.23,46.93,30.77,68.0,72.0,79.0,78.0,86.0,94.0,103.0,102.0,99.0,87.0,-16.0,-9.0,-1.0,15.0,28.0,39.0,48.0,44.0,28.0,14.0
1994-01-01,61.0,0.71,0.22,0.33,2.01,1.3,0.71,0.64,1.82,0.37,2.28,45.77,44.15,58.77,62.87,78.52,90.62,91.52,91.13,83.77,64.1,30.52,29.57,42.29,47.98,62.16,72.81,73.53,74.37,65.4,50.42,15.26,14.54,25.81,33.1,45.81,55.13,55.55,57.61,47.03,36.74,62.0,64.0,76.0,82.0,95.0,104.0,103.0,100.0,97.0,79.0,-5.0,-11.0,5.0,18.0,35.0,40.0,41.0,51.0,28.0,25.0
