Year,Yield_corn,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2019-01-01,125,1.05,0.35,1.81,1.26,2.48,3.44,2.91,1.31,0.59,1.32,43.5,40.82,49.19,65.67,64.61,81.9,89.48,88.42,83.47,58.48,30.33,27.52,35.85,50.77,51.92,65.75,74.08,73.31,67.0,43.32,17.17,14.21,22.52,35.87,39.23,49.6,58.68,58.19,50.53,28.16,61.0,61.0,75.0,83.0,87.0,97.0,101.0,98.0,99.0,81.0,1.0,-5.0,-6.0,19.0,32.0,38.0,55.0,50.0,42.0,4.0
2017-01-01,160,0.42,0.41,1.2,1.79,2.4,1.85,1.17,2.58,1.73,1.81,42.53,46.13,53.48,62.71,72.08,82.3,89.09,89.0,77.33,64.34,27.42,31.39,38.63,47.53,57.11,66.29,72.36,71.79,63.12,48.83,12.28,16.64,23.73,32.35,42.17,50.32,55.65,54.57,48.9,33.31,64.15,67.0,74.55,82.0,89.53,96.72,100.02,93.0,97.0,85.0,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,52.0,41.0,21.0
2016-01-01,153,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2011-01-01,173,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2010-01-01,155,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2007-01-01,149,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2006-01-01,147,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2005-01-01,163,0.42,0.41,1.2,1.79,2.4,1.85,1.17,1.34,1.32,0.89,42.53,46.13,53.48,62.71,72.08,82.3,89.09,86.96,78.33,66.57,27.42,31.39,38.63,47.53,57.11,66.29,72.36,70.27,61.33,49.66,12.28,16.64,23.73,32.35,42.17,50.32,55.65,53.52,44.4,32.73,64.15,67.0,74.55,82.0,89.53,96.72,100.02,97.69,93.35,84.38,-9.17,-4.04,4.53,17.89,29.98,40.34,48.7,46.06,31.79,18.9
2004-01-01,164,0.4,0.6,0.35,2.5,1.51,2.57,2.4,1.65,1.66,1.18,46.0,46.24,65.19,63.66,74.16,77.33,85.74,84.03,80.83,66.81,31.42,32.03,48.31,50.02,59.63,63.85,70.22,68.5,63.53,51.72,16.84,17.83,31.42,36.38,45.1,50.37,55.2,52.97,46.23,36.4,61.0,67.0,80.0,82.0,89.0,98.0,101.0,96.0,92.0,80.0,-12.0,-2.0,20.0,21.0,29.0,42.0,50.0,41.0,36.0,28.0
2003-01-01,140,0.0,0.59,3.98,2.63,1.87,1.0,0.29,2.56,0.15,0.14,53.03,42.21,55.0,67.0,72.23,77.93,96.13,89.74,78.63,73.71,36.46,28.54,41.5,53.07,58.73,64.73,78.53,73.77,61.78,54.8,19.92,15.69,28.92,38.07,45.07,51.71,60.73,57.81,44.93,36.23,69.0,73.0,78.0,85.0,100.0,90.0,104.0,100.0,90.0,88.0,10.0,-4.0,15.0,23.0,27.0,40.0,54.0,52.0,35.0,23.0
2002-01-01,124,0.91,0.3,0.92,0.18,2.42,0.91,0.07,0.26,0.83,0.86,44.65,50.0,49.39,68.11,72.27,89.13,95.03,88.73,79.93,59.63,27.04,30.2,33.45,48.79,54.88,69.58,75.02,69.33,61.79,43.55,9.39,10.52,16.53,29.31,37.55,50.03,55.28,49.88,43.14,28.43,68.0,76.0,73.0,85.0,93.0,101.0,102.0,104.0,97.0,83.0,-5.0,-12.0,-12.0,16.0,24.0,39.0,49.0,41.0,33.0,10.0
2001-01-01,115,0.5,0.42,0.95,2.94,2.93,0.74,1.39,0.97,1.47,0.24,43.77,41.82,52.97,64.37,72.23,86.43,93.1,89.97,82.77,68.23,25.84,26.52,36.68,48.17,55.52,67.45,73.17,69.93,62.63,49.54,8.71,11.88,21.21,32.48,39.31,48.47,53.2,50.07,42.5,30.68,70.0,61.0,69.0,83.0,89.0,99.0,102.0,98.0,95.0,88.0,-12.0,-13.0,13.0,20.0,25.0,34.0,48.0,42.0,32.0,20.0
2000-01-01,130,0.2,0.25,1.12,0.91,1.89,0.97,0.79,0.78,1.3,0.59,48.84,54.39,56.48,68.13,77.65,85.07,93.36,91.06,80.4,65.27,32.64,38.02,40.37,48.42,59.84,66.26,74.71,72.65,61.7,48.28,17.0,21.3,24.26,28.7,42.03,47.45,56.0,54.23,43.0,31.4,65.0,70.0,77.0,84.0,96.0,100.0,101.0,100.0,98.0,88.0,6.0,11.0,15.0,16.0,31.0,39.0,52.0,46.0,24.0,23.0
1999-01-01,140,0.26,0.12,0.72,5.15,2.63,0.5,3.0,2.06,3.03,0.6,47.39,55.67,61.45,58.37,71.1,82.13,91.3,86.43,74.86,68.52,31.94,35.56,40.47,42.08,53.88,63.89,73.14,68.32,56.55,48.07,16.48,15.44,19.48,25.8,37.21,45.79,55.24,50.2,38.24,27.79,64.0,71.0,81.0,78.0,86.0,93.0,101.0,96.0,92.0,87.0,7.0,6.0,11.0,13.0,24.0,38.0,49.0,46.0,21.0,19.0
1998-01-01,148,0.18,0.41,1.68,2.19,0.9,1.11,0.84,0.38,0.78,1.83,47.55,46.13,52.68,60.27,78.29,79.6,90.32,89.59,85.34,64.35,30.74,31.39,36.02,44.0,59.7,62.08,72.9,70.43,65.96,48.48,13.94,16.64,19.35,27.73,40.97,44.57,55.48,51.28,47.0,32.61,69.0,67.0,80.0,83.0,91.0,97.0,104.0,99.0,98.0,79.0,1.0,-4.04,-0.0,21.0,31.0,29.0,49.0,44.0,38.0,23.0
1997-01-01,149,0.43,0.54,0.52,3.47,1.54,3.98,0.57,2.91,1.7,1.23,40.23,45.25,59.32,56.63,72.71,83.2,89.03,84.9,79.57,67.29,24.12,30.18,40.31,40.5,55.97,66.2,70.77,68.18,62.78,48.58,8.48,15.11,21.29,24.37,39.23,49.2,52.52,51.45,46.0,29.87,72.0,68.0,85.0,82.0,88.0,97.0,101.0,95.0,92.0,89.0,-17.0,6.0,3.0,6.0,28.0,45.0,44.0,46.0,35.0,1.0
1996-01-01,153,1.35,0.09,1.62,0.85,2.94,2.06,2.5,0.34,3.18,0.47,42.48,49.54,52.6,65.1,73.58,85.2,87.77,87.94,76.03,68.68,26.05,32.79,35.8,48.57,58.23,67.8,71.62,69.95,59.34,50.17,9.23,16.0,19.35,32.03,43.43,50.79,55.9,51.97,42.07,31.87,74.0,69.0,75.0,87.0,96.0,93.0,101.0,101.0,94.0,90.0,-18.0,-24.0,-3.0,22.0,35.0,43.0,51.0,45.0,23.0,13.0
1995-01-01,97,0.22,0.91,0.56,3.03,7.0,4.27,0.31,0.25,1.59,0.0,46.16,52.93,55.1,57.83,62.07,77.87,89.32,92.29,76.9,72.41,29.97,36.73,40.19,44.08,50.9,63.27,71.5,73.77,60.07,51.93,13.93,20.54,25.29,30.33,39.84,48.67,53.68,55.35,43.69,29.73,67.0,74.0,79.0,79.0,85.0,94.0,102.0,104.0,100.0,86.0,-12.0,-3.0,5.0,19.0,31.0,41.0,48.0,42.0,23.0,20.0
