Year,Yield_beans,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2009-01-01,1900.0,0.12,0.47,0.72,3.19,2.51,5.47,2.27,2.5,2.26,2.65,42.65,48.64,53.68,56.2,68.39,76.47,84.45,84.18,76.11,51.68,30.56,35.59,39.63,44.03,57.1,64.65,71.31,70.23,62.09,40.87,18.48,22.54,25.58,31.87,45.81,52.83,58.16,56.29,48.07,30.06,69.0,68.0,75.0,82.0,93.0,90.0,97.0,96.0,90.0,86.0,-3.0,8.0,2.0,12.0,34.0,45.0,48.0,51.0,38.0,14.0
2008-01-01,1800.0,0.06,0.23,0.21,1.19,1.47,2.19,1.5,3.52,0.92,1.15,31.74,39.79,51.97,58.7,69.32,80.1,92.35,82.17,73.57,64.23,21.92,29.33,38.61,44.58,55.81,66.33,76.47,69.18,60.4,50.73,12.1,18.86,25.26,30.47,42.29,52.57,60.58,56.2,47.23,37.23,50.0,57.0,74.0,85.0,89.0,95.0,102.0,104.0,88.0,80.0,-8.0,6.0,15.0,16.0,22.0,42.0,47.0,45.0,40.0,22.0
2007-01-01,2040.0,0.79,0.05,0.64,2.31,1.55,1.78,2.21,2.47,0.62,0.43,27.48,34.61,58.84,57.03,73.55,81.77,90.94,88.48,80.5,67.32,18.32,25.23,45.47,44.98,60.24,68.05,77.02,75.29,65.38,52.69,9.16,15.86,32.1,32.93,46.94,54.33,63.1,62.1,50.27,38.06,48.0,51.0,79.0,84.0,89.0,98.0,103.0,100.0,93.0,89.0,-6.0,-12.0,15.0,16.0,36.0,38.0,56.0,53.0,38.0,25.0
2006-01-01,2120.0,0.36,0.13,0.86,0.61,1.04,0.22,1.61,2.02,1.9,0.6,51.45,43.75,50.58,67.21,75.42,88.17,91.77,85.29,71.57,62.84,37.5,29.5,37.37,50.93,60.55,72.6,77.44,72.18,58.22,49.26,23.55,15.25,24.16,34.33,45.68,57.03,63.1,59.06,44.87,35.68,67.0,74.0,76.0,85.0,93.0,103.0,106.0,97.0,84.0,87.0,14.0,-13.0,8.0,25.0,30.0,49.0,52.0,46.0,34.0,17.0
2005-01-01,1860.0,0.36,0.14,1.03,2.11,2.15,2.7,1.56,1.57,0.14,2.81,40.29,49.21,53.55,58.73,69.16,81.1,93.48,86.39,82.0,65.84,29.94,35.62,39.71,46.02,55.47,66.98,77.12,71.77,65.93,51.23,19.58,22.04,25.87,33.3,42.2,52.87,60.53,57.16,49.87,36.61,68.0,64.0,75.0,79.0,95.0,96.0,108.0,99.0,94.0,90.0,-8.0,8.0,13.0,25.0,24.0,39.0,50.0,49.0,36.0,22.0
2004-01-01,2000.0,0.16,0.9,0.72,1.32,1.34,3.0,2.37,1.94,1.49,0.91,44.29,43.59,59.6,63.17,74.29,77.86,85.39,82.48,80.7,65.42,30.29,29.86,43.97,48.63,59.32,64.21,71.52,68.0,65.33,51.55,16.29,16.14,28.33,34.1,44.35,50.5,57.65,53.52,49.97,37.7,61.0,66.0,83.0,82.0,92.0,102.0,101.0,100.0,96.0,78.0,-14.0,-9.0,16.0,20.0,29.0,38.0,50.0,44.0,39.0,28.0
2003-01-01,2280.0,0.26,0.29,2.11,2.58,3.31,1.56,1.75,2.63,0.34,0.08,47.32,40.07,52.35,62.83,68.52,77.13,94.48,89.74,76.03,72.13,33.03,27.54,39.4,49.62,56.23,63.97,77.52,74.11,60.7,55.18,18.74,15.0,26.45,36.4,43.94,50.76,60.55,58.48,45.37,38.23,67.0,73.0,76.0,81.0,98.0,89.0,103.0,98.0,89.0,89.0,4.0,-16.0,6.0,18.0,33.0,38.0,54.0,49.0,31.0,22.0
2002-01-01,1610.0,0.06,0.05,0.22,0.32,0.58,1.44,0.2,4.29,1.0,1.28,43.9,47.89,45.23,65.07,71.35,88.93,93.68,86.45,77.13,58.77,29.18,32.32,31.27,49.27,55.97,72.73,77.71,71.77,62.97,45.73,14.45,16.75,17.32,33.47,40.58,56.53,61.74,57.1,48.8,32.1,64.0,69.0,68.0,88.0,94.0,101.0,102.0,105.0,94.0,83.0,-2.0,-3.0,-9.0,14.0,20.0,46.0,51.0,48.0,37.0,10.0
2001-01-01,2800.0,0.55,0.6,0.94,1.72,3.72,1.46,2.77,1.08,2.01,0.61,41.9,37.85,48.97,61.17,69.68,83.57,92.13,90.0,80.3,66.1,30.03,25.83,37.89,47.87,56.97,68.53,77.45,74.02,64.72,50.07,18.16,14.83,26.81,34.57,44.26,53.5,62.77,58.03,49.13,34.67,61.0,57.0,69.0,81.0,86.0,99.0,101.0,99.0,96.0,87.0,6.0,-6.0,8.0,21.0,32.0,42.0,57.0,49.0,37.0,19.0
2000-01-01,2080.0,0.52,0.61,2.01,2.3,0.9,0.82,3.03,2.13,1.65,1.69,41.84,50.17,53.1,65.53,74.61,83.33,92.06,91.79,78.9,65.42,30.45,36.5,40.98,48.6,60.42,67.4,76.29,76.04,63.4,51.06,19.06,22.83,28.87,31.67,45.83,51.47,60.52,60.24,47.9,36.71,57.0,71.0,71.0,82.0,96.0,100.0,101.0,100.0,99.0,87.0,2.0,11.0,19.0,19.0,28.0,42.0,41.0,55.0,29.0,19.0
