Year,Yield_sorghum,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2007-01-01,26.0,0.42,0.11,0.42,2.83,2.46,1.53,1.52,2.6,0.1,0.33,38.26,47.89,64.71,63.1,74.97,86.2,92.55,93.29,84.27,73.87,23.73,32.77,46.56,48.38,59.95,68.5,75.47,76.61,66.37,53.98,9.19,17.64,28.42,33.67,44.94,50.8,58.39,59.94,48.47,34.1,65.0,69.0,83.0,86.0,87.0,99.0,104.0,100.0,96.0,91.0,-14.0,-6.0,8.0,22.0,36.0,35.0,51.0,54.0,34.0,25.0
2005-01-01,28.0,0.38,0.2,1.74,1.55,1.16,1.15,0.8,1.39,0.94,1.6,48.39,52.93,57.1,66.67,76.87,89.7,97.71,89.16,85.53,69.55,33.26,37.14,40.66,50.15,60.16,70.08,78.29,72.98,67.27,53.18,18.13,21.36,24.23,33.63,43.45,50.47,58.87,56.81,49.0,36.81,72.0,68.0,78.0,82.0,97.0,101.0,108.0,102.0,94.0,89.0,-6.0,10.0,13.0,20.0,31.0,40.0,49.0,48.0,38.0,25.0
2004-01-01,33.0,0.51,0.65,0.55,4.85,0.0,1.93,0.76,3.53,0.22,0.23,48.48,47.31,66.68,64.5,81.68,84.57,90.42,85.65,84.4,71.52,31.52,33.28,48.87,50.5,63.19,67.77,73.21,69.53,65.02,52.9,14.55,19.24,31.06,36.5,44.71,50.97,56.0,53.42,45.63,34.29,65.0,68.0,84.0,85.0,94.0,101.0,101.0,102.0,96.0,83.0,-8.0,-8.0,22.0,28.0,30.0,43.0,47.0,45.0,33.0,21.0
2003-01-01,44.0,0.01,0.81,0.81,1.9,1.56,3.72,0.32,1.17,0.44,0.08,53.74,44.14,61.61,71.13,79.32,83.23,101.03,93.55,80.27,76.19,36.34,30.55,45.24,55.57,63.34,67.78,81.16,75.95,62.52,56.55,18.94,16.96,28.87,40.0,47.35,52.33,61.29,58.35,44.77,36.9,73.0,75.0,83.0,86.0,101.0,96.0,109.0,102.0,95.0,92.0,9.0,-10.0,18.0,26.0,31.0,42.0,54.0,52.0,33.0,20.0
2002-01-01,90.0,0.43,0.07,0.04,0.16,0.22,0.43,0.84,0.3,0.42,0.67,46.74,51.71,57.97,72.57,79.81,93.9,96.19,92.19,83.43,63.26,29.53,31.88,37.48,52.77,60.69,75.28,79.08,75.21,66.65,48.29,12.32,12.04,17.0,32.97,41.58,56.67,61.97,58.23,49.87,33.32,73.0,72.0,79.0,89.0,102.0,103.0,104.0,103.0,100.0,85.0,-9.0,-8.0,-6.0,17.0,29.0,45.0,57.0,49.0,38.0,23.0
2001-01-01,0.0,0.81,0.16,0.51,0.48,2.67,1.1,2.7,2.0,0.49,0.07,42.65,45.0,55.48,70.9,74.84,89.17,95.48,91.13,84.87,71.97,26.02,31.43,40.9,53.25,58.9,70.6,78.08,73.84,65.93,52.13,9.39,17.86,26.32,35.6,42.97,52.03,60.68,56.55,47.0,32.29,74.0,65.0,74.0,86.0,90.0,100.0,103.0,99.0,93.0,88.0,-15.0,-2.0,17.0,23.0,33.0,36.0,53.0,48.0,32.0,18.0
2000-01-01,22.0,0.34,0.04,2.94,1.21,0.85,0.8,3.03,0.92,0.36,1.5,51.39,59.55,57.81,71.97,83.16,89.03,94.97,94.48,83.97,67.29,33.6,40.69,43.45,52.77,63.1,71.3,77.73,76.84,65.37,52.0,15.81,21.83,29.1,33.57,43.03,53.57,60.48,59.19,46.77,36.71,70.0,74.0,80.0,88.0,102.0,102.0,103.0,101.0,99.0,91.0,-0.0,8.0,19.0,21.0,28.0,46.0,49.0,53.0,28.0,28.0
1999-01-01,40.0,0.11,0.01,0.56,5.3,1.84,0.19,1.86,2.98,0.31,0.62,52.94,62.54,63.0,62.27,75.81,86.6,93.74,89.29,78.6,73.23,36.24,40.32,44.66,47.77,59.58,68.42,77.23,73.56,62.7,52.19,19.55,18.11,26.32,33.27,43.35,50.23,60.71,57.84,46.8,31.16,73.0,76.0,82.0,81.0,91.0,98.0,104.0,96.0,94.0,91.0,6.0,1.0,15.0,20.0,31.0,42.0,52.0,50.0,21.0,22.0
1998-01-01,55.0,0.1,0.17,1.94,1.88,1.04,0.68,2.42,0.93,0.41,1.6,48.39,48.61,54.13,63.07,80.13,86.0,91.94,89.13,88.93,70.1,31.34,34.5,37.56,47.52,61.26,66.62,75.03,72.4,69.77,53.77,14.29,20.39,21.0,31.97,42.39,47.23,58.13,55.68,50.6,37.45,68.0,68.0,80.0,83.0,90.0,103.0,104.0,100.0,99.0,89.0,4.0,10.0,2.0,23.0,33.0,36.0,51.0,49.0,45.0,28.0
1997-01-01,45.0,0.17,0.42,0.26,2.29,0.53,2.02,0.8,4.13,0.96,0.83,45.03,48.0,64.32,59.47,75.45,86.23,93.52,86.71,81.83,67.97,27.98,31.68,43.05,43.73,58.15,69.5,74.95,72.02,66.53,49.9,10.94,15.36,21.77,28.0,40.84,52.77,56.39,57.32,51.23,31.84,81.0,70.0,83.0,82.0,90.0,100.0,102.0,96.0,93.0,88.0,-11.0,5.0,2.0,2.0,26.0,47.0,47.0,52.0,41.0,4.0
1996-01-01,45.0,0.24,0.12,0.95,0.66,1.8,1.32,3.41,2.11,1.46,0.31,47.84,54.38,56.55,68.87,82.0,87.37,90.94,89.13,78.77,70.13,27.87,34.67,38.02,50.38,64.71,70.22,74.95,72.55,62.2,51.23,7.9,14.97,19.48,31.9,47.42,53.07,58.97,55.97,45.63,32.32,73.0,78.0,78.0,89.0,99.0,98.0,104.0,102.0,93.0,89.0,-13.0,-26.0,-5.0,20.0,34.0,44.0,53.0,50.0,33.0,10.0
1995-01-01,32.0,0.01,0.16,0.88,2.52,4.3,2.28,1.18,2.57,1.38,0.0,50.1,55.86,58.0,59.43,67.77,80.33,90.81,94.19,78.47,70.71,31.61,36.66,41.1,44.48,54.02,65.12,71.82,75.66,62.22,48.69,13.13,17.46,24.19,29.53,40.26,49.9,52.84,57.13,45.97,26.68,70.0,73.0,80.0,80.0,90.0,95.0,102.0,104.0,101.0,87.0,1.0,-1.0,7.0,11.0,32.0,42.0,44.0,46.0,28.0,15.0
1994-01-01,33.0,0.46,0.24,0.83,2.13,2.36,2.59,0.12,4.01,0.16,1.69,48.58,50.11,60.29,65.07,76.74,91.67,92.77,89.9,85.07,68.65,29.92,32.07,41.87,49.15,61.06,73.1,73.85,73.92,65.95,52.18,11.26,14.04,23.93,33.23,45.39,54.53,54.94,57.94,46.83,35.71,69.0,68.0,80.0,87.0,93.0,103.0,101.0,99.0,95.0,85.0,-3.0,-1.0,7.0,18.0,29.0,48.0,44.0,51.0,31.0,24.0
1993-01-01,40.0,0.37,0.18,1.72,1.4,1.99,1.49,1.37,3.43,0.62,0.54,40.06,45.36,57.55,66.13,74.65,86.3,92.39,86.03,78.33,66.23,26.44,30.55,42.05,50.47,59.05,68.8,74.89,71.21,60.07,48.97,12.81,15.75,26.55,34.8,43.45,51.3,57.39,56.39,41.8,31.71,66.0,68.0,78.0,83.0,89.0,100.0,101.0,96.0,93.0,89.0,-7.0,-6.0,6.0,24.0,29.0,38.0,50.0,42.0,31.0,5.0
1992-01-01,37.0,0.04,0.19,1.31,0.43,0.4,3.15,1.39,2.48,0.7,0.71,51.16,55.62,61.03,73.23,77.87,82.1,90.03,86.74,84.47,71.65,33.81,38.62,45.13,54.58,61.84,66.77,73.21,70.45,65.58,52.08,16.45,21.62,29.23,35.93,45.81,51.43,56.39,54.16,46.7,32.52,72.0,74.0,73.0,93.0,94.0,96.0,104.0,102.0,94.0,89.0,-6.0,10.0,18.0,28.0,35.0,42.0,47.0,43.0,34.0,16.0
1991-01-01,53.0,0.08,0.01,0.74,0.83,0.72,1.97,2.79,2.14,1.36,0.62,43.84,59.14,59.45,67.73,81.61,89.4,91.32,89.52,81.17,71.61,28.77,38.73,43.34,51.27,63.95,72.27,74.84,73.66,64.67,52.76,13.71,18.32,27.23,34.8,46.29,55.13,58.35,57.81,48.17,33.9,66.0,71.0,75.0,90.0,93.0,103.0,105.0,101.0,92.0,94.0,1.0,4.0,14.0,19.0,31.0,45.0,52.0,53.0,36.0,13.0
1990-01-01,60.0,0.76,0.69,1.14,1.57,2.34,0.0,5.14,3.08,1.83,0.59,49.03,48.14,56.06,67.07,74.1,93.97,87.97,89.32,84.5,71.35,33.6,33.39,42.34,51.6,57.63,74.25,72.74,72.03,68.3,53.23,18.16,18.64,28.61,36.13,41.16,54.53,57.52,54.74,52.1,35.1,74.0,72.0,76.0,85.0,92.0,108.0,104.0,102.0,100.0,89.0,1.0,-6.0,20.0,26.0,27.0,45.0,50.0,48.0,43.0,26.0
1989-01-01,39.0,0.42,0.83,0.14,0.59,1.45,1.27,0.61,1.02,1.03,0.1,50.61,36.64,66.94,70.7,78.65,83.7,93.74,90.03,81.17,71.26,33.11,24.0,46.32,52.73,62.76,67.88,76.77,73.55,65.25,53.11,15.61,11.36,25.71,34.77,46.87,52.07,59.81,57.06,49.33,34.97,75.0,76.0,86.0,93.0,98.0,101.0,105.0,99.0,97.0,89.0,-11.0,-24.0,3.0,13.0,32.0,42.0,55.0,52.0,36.0,15.0
1988-01-01,46.0,0.94,0.38,0.93,0.7,1.33,1.86,2.0,0.67,1.8,0.0,34.84,49.28,56.48,69.4,77.81,90.57,93.65,93.06,82.07,73.42,19.66,33.6,39.66,51.52,60.79,73.12,75.66,75.81,64.73,54.95,4.48,17.93,22.84,33.63,43.77,55.67,57.68,58.55,47.4,36.48,57.0,70.0,85.0,87.0,92.0,100.0,104.0,100.0,98.0,88.0,-15.0,-4.0,10.0,23.0,30.0,37.0,48.0,49.0,32.0,24.0
1987-01-01,43.0,0.74,1.39,0.45,0.3,2.09,1.29,0.09,2.89,0.31,0.04,45.32,50.79,56.39,71.2,76.65,88.7,95.81,86.97,82.0,71.77,29.79,37.3,40.34,52.92,61.73,71.17,76.98,71.94,64.98,53.31,14.26,23.82,24.29,34.63,46.81,53.63,58.16,56.9,47.97,34.84,71.0,70.0,76.0,88.0,88.0,98.0,105.0,102.0,94.0,88.0,-14.0,9.0,5.0,20.0,37.0,45.0,51.0,48.0,38.0,22.0
1986-01-01,28.0,0.25,0.14,0.55,0.43,0.84,2.21,1.71,2.42,0.35,0.9,57.97,55.61,66.52,70.27,77.19,87.53,93.52,89.71,79.0,67.35,39.44,38.84,47.82,53.17,59.82,71.07,75.92,73.26,63.05,50.87,20.9,22.07,29.13,36.07,42.45,54.6,58.32,56.81,47.1,34.39,76.0,80.0,84.0,89.0,92.0,101.0,102.0,103.0,91.0,82.0,8.0,-4.0,18.0,24.0,30.0,43.0,53.0,50.0,30.0,24.0
1985-01-01,42.0,0.5,0.36,0.72,1.7,1.46,0.1,4.82,0.95,1.01,0.6,38.45,43.86,59.29,70.2,76.74,88.63,91.55,91.74,77.03,69.13,25.77,29.05,43.4,53.97,61.85,70.88,75.42,75.03,62.73,51.58,13.1,14.25,27.52,37.73,46.97,53.13,59.29,58.32,48.43,34.03,59.0,73.0,77.0,85.0,90.0,102.0,103.0,101.0,95.0,85.0,-10.0,-16.0,11.0,23.0,38.0,41.0,49.0,52.0,27.0,24.0
