Year,Yield_sorghum,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2007-01-01,30.0,0.32,0.03,0.55,0.77,1.95,1.53,2.13,2.91,1.0,0.9,28.81,38.43,59.65,59.6,74.67,84.86,93.83,89.76,80.47,68.06,14.66,26.07,42.77,44.13,58.1,67.52,77.23,74.1,62.9,50.32,0.52,13.71,25.9,28.67,41.53,50.18,60.63,58.45,45.33,32.8,48.0,55.0,78.0,86.0,89.0,100.0,106.0,101.0,93.0,84.0,-14.0,-14.0,11.0,14.0,31.0,33.0,54.0,52.0,32.0,24.0
2005-01-01,32.0,0.12,0.05,0.35,1.56,1.92,3.42,0.42,0.71,0.51,2.76,43.58,49.93,54.37,62.7,72.9,81.47,94.16,87.68,82.6,67.0,30.74,33.93,38.78,47.18,56.79,65.54,74.85,70.18,62.62,49.21,17.9,17.93,23.23,31.67,40.68,50.25,55.55,52.68,42.86,31.42,70.0,64.0,73.0,79.0,95.0,98.0,104.0,98.0,93.0,87.0,-10.0,4.0,10.0,13.0,24.0,40.0,48.0,45.0,27.0,22.0
2004-01-01,17.0,0.28,0.36,0.0,0.83,2.36,1.61,0.56,1.02,1.42,0.83,43.32,43.79,62.94,64.38,75.83,78.67,87.43,85.0,80.34,66.03,28.27,28.97,44.63,48.5,59.35,63.73,70.77,67.67,62.34,50.65,13.23,14.14,26.32,32.28,42.87,48.8,54.19,50.34,44.53,35.26,63.0,65.0,80.0,82.0,90.0,100.0,101.0,100.0,94.0,78.0,-25.0,-10.0,13.0,16.0,27.0,34.0,44.0,38.0,34.0,23.0
2003-01-01,43.0,0.06,0.17,2.3,0.38,2.67,2.51,0.87,1.28,0.31,0.0,50.65,42.07,56.13,65.63,73.06,73.77,88.3,90.03,77.83,73.65,34.45,27.96,41.0,50.82,58.18,60.05,70.98,73.85,59.91,53.42,18.26,13.85,25.87,36.0,43.29,46.33,53.73,57.67,42.0,33.19,69.0,71.0,76.0,81.0,93.0,84.0,97.0,100.0,89.0,86.0,5.0,-11.0,7.0,17.0,32.0,28.0,35.0,47.0,29.0,22.0
2002-01-01,8.0,0.07,0.19,0.56,0.03,0.52,1.33,0.0,3.49,0.38,0.92,45.13,49.82,52.35,69.87,75.61,91.54,94.71,90.16,79.47,58.87,27.8,30.54,34.45,50.82,57.58,72.75,76.68,72.56,63.05,43.55,10.47,11.25,16.55,31.77,39.55,53.96,58.65,54.97,46.63,28.23,64.0,71.0,74.0,86.0,96.0,99.0,102.0,99.0,93.0,82.0,-12.0,-7.0,-14.0,15.0,18.0,40.0,51.0,45.0,33.0,6.0
2001-01-01,43.0,0.27,0.29,0.44,2.16,3.86,1.46,3.5,0.72,1.28,0.66,41.26,39.21,52.65,65.86,72.71,85.7,92.45,90.03,82.33,66.71,27.84,26.82,38.42,50.05,57.56,68.45,76.44,72.98,64.3,49.6,14.42,14.43,24.19,34.24,42.42,51.2,60.42,55.94,46.27,32.48,57.0,56.0,69.0,81.0,89.0,96.0,100.0,96.0,94.0,83.0,-6.0,-15.0,6.0,24.0,30.0,38.0,53.0,46.0,29.0,19.0
2000-01-01,38.0,0.1,0.41,0.89,0.74,3.21,1.08,0.42,0.3,1.06,0.22,46.58,53.55,55.37,68.4,77.94,83.77,92.77,91.27,79.55,65.06,31.24,37.16,41.03,49.53,60.21,66.2,75.32,73.8,62.29,49.85,15.9,20.76,26.65,30.67,42.48,48.63,57.87,56.19,45.03,34.65,63.0,68.0,72.0,80.0,93.0,97.0,100.0,99.0,97.0,84.0,2.0,6.0,14.0,14.0,21.0,40.0,51.0,48.0,24.0,17.0
1999-01-01,42.0,0.17,0.0,0.5,4.92,1.27,2.14,1.65,4.33,2.63,0.39,45.74,53.36,59.13,58.17,70.97,81.7,90.84,79.9,73.56,68.94,33.34,37.64,41.9,44.55,56.11,66.15,74.47,68.7,57.37,49.98,20.94,21.93,24.68,31.37,41.26,50.6,58.1,57.5,41.12,31.03,62.0,70.0,76.0,74.0,84.0,93.0,98.0,91.0,85.0,83.0,7.0,3.0,10.0,20.0,27.0,41.0,47.0,55.0,24.0,17.0
1998-01-01,28.0,0.06,0.15,0.53,0.64,1.78,1.52,4.52,1.28,1.03,1.81,45.97,47.64,52.45,63.23,75.97,79.57,89.1,87.19,84.77,62.6,30.1,34.36,37.42,46.83,59.23,62.95,73.9,71.41,66.98,50.25,14.23,21.07,22.39,30.43,42.5,46.33,58.7,55.28,49.2,37.9,63.0,66.0,78.0,83.0,87.0,94.0,103.0,96.0,97.0,78.0,-3.0,10.0,-1.0,19.0,31.0,30.0,53.0,46.0,42.0,22.0
1997-01-01,33.0,0.41,0.31,0.39,0.49,1.6,3.14,2.8,4.34,1.32,1.38,36.77,42.67,58.68,55.15,72.7,81.0,89.45,84.26,78.4,66.23,24.24,30.56,40.45,40.85,56.38,67.13,72.95,70.73,63.72,49.08,11.71,18.44,22.23,26.56,39.94,53.27,56.45,57.19,49.03,32.53,69.0,65.0,79.0,76.0,88.0,95.0,99.0,93.0,87.0,86.0,-14.0,1.0,-5.0,7.0,23.0,46.0,46.0,52.0,38.0,2.0
