,crop,thru_month,model,r2_score,rmse
0,corn,4,RandomForestRegressor,0.069,19.78
1,barley,4,RandomForestRegressor,0.351,14.34
2,barley,4,GradientBoostingRegressor,0.524,12.27
3,wheat,4,RandomForestRegressor,0.265,6.92
4,wheat,4,GradientBoostingRegressor,0.413,6.18
5,corn,5,RandomForestRegressor,0.281,17.38
6,corn,5,GradientBoostingRegressor,0.343,16.61
7,barley,5,RandomForestRegressor,0.179,16.12
8,barley,5,GradientBoostingRegressor,0.124,16.66
9,oats,5,ElasticNet,0.104,20.78
10,wheat,5,Ridge,0.129,7.53
11,wheat,5,RandomForestRegressor,0.186,7.28
12,wheat,5,GradientBoostingRegressor,0.288,6.81
13,corn,6,RandomForestRegressor,0.399,15.88
14,corn,6,GradientBoostingRegressor,0.361,16.38
15,barley,6,RandomForestRegressor,0.121,16.68
16,barley,6,GradientBoostingRegressor,0.206,15.86
17,wheat,6,RandomForestRegressor,0.137,7.49
18,wheat,6,GradientBoostingRegressor,0.338,6.56
19,corn,7,RandomForestRegressor,0.367,16.31
20,corn,7,GradientBoostingRegressor,0.129,19.12
21,barley,7,RandomForestRegressor,0.255,15.36
22,barley,7,GradientBoostingRegressor,0.396,13.82
23,barley,7,DecisionTreeRegressor,0.253,15.38
24,wheat,7,RandomForestRegressor,0.233,7.07
25,wheat,7,GradientBoostingRegressor,0.378,6.36
26,corn,8,RandomForestRegressor,0.387,16.05
27,barley,8,RandomForestRegressor,0.195,15.96
28,barley,8,GradientBoostingRegressor,0.278,15.12
29,barley,8,DecisionTreeRegressor,0.28,15.1
30,oats,8,RandomForestRegressor,0.065,21.23
31,wheat,8,RandomForestRegressor,0.145,7.46
32,wheat,8,GradientBoostingRegressor,0.563,5.33
33,corn,9,RandomForestRegressor,0.173,18.64
34,corn,9,DecisionTreeRegressor,0.117,19.26
35,barley,9,RandomForestRegressor,0.156,16.35
36,barley,9,GradientBoostingRegressor,0.241,15.5
37,barley,9,DecisionTreeRegressor,0.398,13.81
38,wheat,9,RandomForestRegressor,0.432,6.08
39,wheat,9,GradientBoostingRegressor,0.579,5.23
40,corn,10,RandomForestRegressor,0.295,17.2
41,barley,10,RandomForestRegressor,0.198,15.93
42,barley,10,GradientBoostingRegressor,0.275,15.15
43,barley,10,DecisionTreeRegressor,0.04,17.43
44,wheat,10,RandomForestRegressor,0.269,6.9
45,wheat,10,GradientBoostingRegressor,0.673,4.61
