,crop,thru_month,model,r2_score,rmse
0,corn,4,RandomForestRegressor,0.036,19.79
1,corn,4,GradientBoostingRegressor,0.057,19.57
2,beans,4,RandomForestRegressor,0.101,162.4
3,wheat,4,Lasso,0.136,7.43
4,wheat,4,ElasticNet,0.029,7.87
5,corn,5,GradientBoostingRegressor,0.033,19.83
6,beans,5,RandomForestRegressor,0.151,157.82
7,wheat,5,Lasso,0.023,7.9
8,wheat,5,RandomForestRegressor,0.028,7.88
9,wheat,5,GradientBoostingRegressor,0.061,7.74
10,wheat,6,RandomForestRegressor,0.122,7.49
11,wheat,6,GradientBoostingRegressor,0.235,6.99
12,wheat,6,DecisionTreeRegressor,0.477,5.78
13,sorghum,7,GradientBoostingRegressor,0.073,12.56
14,wheat,7,RandomForestRegressor,0.245,6.94
15,wheat,7,GradientBoostingRegressor,0.298,6.7
16,wheat,7,DecisionTreeRegressor,0.137,7.42
17,wheat,8,RandomForestRegressor,0.1,7.58
18,wheat,8,GradientBoostingRegressor,0.48,5.76
19,wheat,8,DecisionTreeRegressor,0.042,7.82
20,wheat,9,RandomForestRegressor,0.189,7.2
21,wheat,9,GradientBoostingRegressor,0.266,6.84
22,wheat,9,DecisionTreeRegressor,0.424,6.07
23,wheat,10,RandomForestRegressor,0.237,6.98
24,wheat,10,GradientBoostingRegressor,0.318,6.6
