Year,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1960-01-01,0.37,0.53,0.84,0.88,2.5,0.72,0.8,0.03,0.39,2.11,38.48,35.59,49.03,63.8,70.71,82.8,87.42,87.26,78.33,64.84,25.19,24.98,35.52,49.27,55.42,66.97,70.9,69.73,62.47,50.24,11.9,14.38,22.0,34.73,40.13,51.13,54.39,52.19,46.6,35.65,59.0,56.0,76.0,83.0,84.0,93.0,98.0,97.0,94.0,81.0,-13.0,-18.0,-20.0,21.0,26.0,40.0,49.0,42.0,32.0,28.0
1961-01-01,0.21,0.64,3.38,1.0,7.06,1.83,4.27,4.0,4.0,1.17,45.77,49.0,47.61,59.63,68.1,79.33,83.61,82.94,67.93,62.73,29.11,35.07,36.45,45.67,55.94,65.22,69.65,69.79,55.21,48.28,12.45,21.14,25.29,31.7,43.77,51.1,55.68,56.65,42.57,33.5,64.0,68.0,68.0,83.0,87.0,93.0,93.0,96.0,83.0,79.0,-22.0,-3.0,9.0,20.0,29.0,45.0,46.0,51.0,27.0,15.0
1962-01-01,1.17,0.7,0.55,1.0,2.36,2.13,2.07,0.31,0.41,1.75,32.3,41.11,46.73,63.83,72.03,77.89,82.81,84.65,75.59,67.55,16.68,30.07,34.0,48.85,57.71,63.68,68.6,68.11,59.89,52.39,0.13,18.04,21.27,33.87,43.39,49.3,54.39,51.58,44.17,37.23,58.0,71.0,71.0,81.0,87.0,91.0,92.0,95.0,88.0,80.0,-32.0,-24.0,-11.0,8.0,25.0,40.0,49.0,41.0,31.0,26.0
1963-01-01,0.67,0.42,1.28,0.5,0.42,3.75,0.13,1.69,2.1,0.3,32.1,50.39,49.52,62.97,74.06,81.4,88.55,81.35,78.47,70.0,16.9,36.68,36.13,48.23,58.56,66.77,73.4,68.97,64.0,54.66,1.71,22.96,22.74,33.5,43.06,52.13,58.26,56.58,49.53,39.32,60.0,69.0,75.0,77.0,83.0,96.0,96.0,94.0,85.0,84.0,-25.0,-2.0,-13.0,24.0,33.0,40.0,52.0,51.0,39.0,31.0
1964-01-01,0.31,0.21,0.92,1.69,1.87,0.54,1.04,0.45,0.34,0.06,42.32,40.9,44.61,58.57,72.1,77.03,88.97,82.13,76.1,67.9,29.58,28.21,31.87,45.43,57.92,63.72,73.87,67.03,59.65,50.53,16.84,15.52,19.13,32.3,43.74,50.4,58.77,51.94,43.2,33.16,61.0,56.0,70.0,79.0,89.0,91.0,96.0,94.0,87.0,84.0,-3.0,-10.0,5.0,13.0,29.0,38.0,49.0,39.0,29.0,22.0
1965-01-01,0.66,0.31,0.84,1.19,1.89,5.27,2.29,0.44,2.33,0.51,47.16,41.0,39.9,62.3,68.68,74.53,83.9,81.0,64.87,69.06,33.45,27.96,27.11,48.97,55.45,63.27,70.69,67.24,52.82,53.13,19.74,14.93,14.32,35.63,42.23,52.0,57.48,53.48,40.77,37.19,62.0,66.0,69.0,81.0,82.0,87.0,92.0,93.0,81.0,84.0,5.0,-10.0,-7.0,29.0,29.0,43.0,52.0,45.0,27.0,28.0
1966-01-01,0.12,0.6,0.01,1.39,0.27,1.6,0.62,0.63,1.16,0.43,39.61,38.79,58.1,58.7,75.23,78.77,89.13,82.23,75.87,65.1,25.82,25.91,41.71,44.92,58.68,64.75,74.79,67.74,61.62,49.06,12.03,13.04,25.32,31.13,42.58,50.73,60.45,53.26,47.37,33.03,67.0,52.0,77.0,79.0,89.0,93.0,96.0,93.0,88.0,78.0,-14.0,-6.0,11.0,13.0,27.0,41.0,55.0,42.0,38.0,22.0
1967-01-01,0.61,0.35,0.61,3.02,4.79,3.26,3.1,1.82,0.93,0.61,45.29,48.79,57.39,63.03,64.65,71.27,82.87,82.19,74.97,67.68,32.02,34.89,42.73,49.05,52.9,60.43,70.05,67.76,60.2,52.15,18.74,21.0,28.06,35.07,41.16,49.6,57.23,53.32,45.43,36.61,64.0,69.0,78.0,78.0,86.0,86.0,91.0,93.0,88.0,87.0,-0.0,7.0,-2.0,25.0,29.0,43.0,53.0,47.0,36.0,19.0
1968-01-01,0.09,0.6,0.9,1.85,3.2,0.86,2.05,2.11,0.09,0.65,41.84,46.69,55.58,56.07,65.61,81.97,84.26,80.71,74.67,65.48,28.74,34.66,40.74,42.7,53.0,67.12,70.6,66.9,58.83,50.66,15.65,22.62,25.9,29.33,40.39,52.27,56.94,53.1,43.0,35.84,61.0,60.0,74.0,77.0,82.0,97.0,95.0,93.0,85.0,81.0,-7.0,12.0,10.0,16.0,30.0,42.0,48.0,41.0,37.0,22.0
1969-01-01,0.59,0.33,0.59,1.46,3.8,2.56,0.84,1.72,0.63,4.85,44.32,44.57,44.52,65.73,70.39,71.4,86.13,85.13,76.17,50.94,30.76,32.82,31.77,51.68,57.82,60.22,72.45,71.6,62.17,40.15,17.19,21.07,19.03,37.63,45.26,49.03,58.77,58.06,48.17,29.35,63.0,63.0,73.0,77.0,90.0,91.0,95.0,99.0,86.0,79.0,-4.0,2.0,-4.0,27.0,36.0,37.0,53.0,52.0,40.0,8.0
1970-01-01,0.06,0.02,2.65,1.04,2.73,2.44,2.65,0.97,1.61,1.25,43.81,53.68,44.26,55.53,70.29,78.57,84.33,85.43,72.63,57.97,30.05,37.61,33.21,42.84,56.87,64.65,71.25,71.7,58.27,45.1,16.29,21.54,22.16,29.62,43.45,50.73,58.16,58.0,43.9,32.23,65.0,67.0,64.0,75.0,86.15,91.0,93.0,96.0,86.0,80.0,-9.0,13.0,7.0,6.0,30.86,40.0,51.0,51.0,31.0,22.0
1971-01-01,0.59,0.5,0.51,4.42,2.33,0.2,0.52,0.19,3.55,0.94,41.58,42.11,51.58,60.07,66.97,82.77,82.87,84.87,69.8,61.77,29.32,30.29,37.66,46.85,54.35,67.73,69.03,70.4,55.95,48.16,17.06,18.46,23.74,33.63,41.74,52.7,55.19,55.94,42.1,34.55,66.0,63.0,79.0,78.0,80.0,97.0,97.0,92.0,90.0,82.0,-20.0,-2.0,6.0,15.0,32.0,40.0,43.0,51.0,21.0,15.0
1972-01-01,0.54,0.06,0.43,1.38,0.55,1.4,0.72,2.24,0.51,0.57,42.03,53.48,60.39,61.83,70.55,81.5,82.45,81.35,73.37,61.19,26.94,37.91,45.21,48.52,56.52,67.62,68.42,68.42,60.07,49.31,11.84,21.97,30.03,35.2,42.48,53.73,54.39,55.48,46.77,37.42,59.0,72.0,77.0,75.0,84.0,89.0,96.0,96.0,86.0,80.0,-16.0,-0.0,15.0,21.0,27.0,49.0,43.0,43.0,35.0,19.0
1973-01-01,0.26,0.02,0.79,1.9,1.63,0.34,2.56,0.18,1.7,0.43,38.45,44.82,48.65,61.95,68.77,81.8,81.81,86.1,71.03,67.32,26.6,31.64,37.77,48.33,55.77,66.77,68.87,71.19,58.6,51.81,14.74,18.46,26.9,34.71,42.77,51.73,55.94,56.29,46.17,36.29,59.0,56.0,60.0,79.83,84.0,96.0,100.0,95.0,82.0,81.0,-5.0,4.0,19.0,20.14,32.0,39.0,50.0,49.0,32.0,25.0
1974-01-01,0.33,0.06,1.05,1.65,0.01,3.01,1.65,0.12,1.08,2.01,37.03,49.54,56.45,60.03,75.58,81.53,86.81,81.23,73.0,65.1,24.73,35.41,41.79,47.18,60.4,66.47,72.35,66.47,58.07,51.6,12.42,21.29,27.13,34.33,45.23,51.4,57.9,51.71,43.13,38.1,65.0,60.0,76.0,80.0,87.0,95.0,94.0,90.0,90.0,80.0,-11.0,9.0,4.0,22.0,34.0,37.0,50.0,42.0,30.0,28.0
1975-01-01,0.05,0.54,1.57,1.53,4.53,1.77,0.92,2.86,0.39,0.9,43.42,43.89,49.8,56.43,67.1,77.63,85.48,84.13,74.57,67.61,30.02,29.95,36.95,43.28,53.31,63.52,71.63,69.18,59.28,51.19,16.61,16.0,24.19,30.13,39.52,49.4,57.77,54.23,44.0,34.77,63.0,65.0,72.0,81.0,83.0,91.0,94.0,93.0,86.0,84.0,-4.0,-7.0,1.0,-5.0,29.0,36.0,51.0,43.0,33.0,14.0
1976-01-01,0.3,0.57,0.64,1.64,1.13,0.95,1.03,1.88,1.94,0.25,42.39,50.76,51.84,61.83,69.48,80.47,86.74,82.74,73.23,61.61,28.31,36.97,36.98,48.58,56.16,64.87,72.5,68.35,60.45,46.81,14.23,23.17,22.13,35.33,42.84,49.27,58.26,53.97,47.67,32.0,66.0,65.0,71.0,75.0,86.0,92.0,97.0,91.0,91.0,80.0,-8.0,-0.0,2.0,26.0,30.0,39.0,51.0,45.0,35.0,19.0
1977-01-01,0.04,0.05,0.13,2.69,1.1,0.32,5.86,1.2,0.14,0.14,40.42,50.61,53.23,63.47,72.87,85.77,86.19,80.0,79.8,66.9,25.37,36.36,38.69,49.98,59.65,71.23,72.85,68.15,64.53,51.74,10.32,22.11,24.16,36.5,46.42,56.7,59.52,56.29,49.27,36.58,56.0,64.0,70.0,83.0,84.0,96.0,98.0,90.0,94.0,80.0,-9.0,10.0,13.0,20.0,39.0,50.0,51.0,47.0,36.0,21.0
1978-01-01,0.6,0.26,0.44,1.29,6.15,1.39,1.02,0.79,0.12,1.94,34.97,37.14,56.81,62.93,67.0,80.73,87.29,82.65,78.8,66.06,23.65,27.93,42.5,49.62,54.0,66.38,72.4,68.05,63.15,50.45,12.32,18.71,28.19,36.3,41.0,52.03,57.52,53.45,47.5,34.84,54.0,57.0,80.0,78.0,88.0,93.0,98.0,93.0,90.0,80.0,-2.0,-2.0,4.0,25.0,27.0,40.0,51.0,44.0,32.0,25.0
1979-01-01,0.36,0.29,2.33,1.38,5.08,3.13,0.95,3.13,1.03,0.87,28.77,44.89,52.84,62.21,66.39,79.37,86.39,80.87,79.43,67.32,16.82,31.77,40.35,48.48,53.79,64.83,71.87,67.1,63.77,52.69,4.87,18.64,27.87,34.76,41.19,50.3,57.35,53.32,48.1,38.06,49.0,59.0,68.0,79.0,81.0,92.0,94.0,96.0,91.0,85.0,-15.0,-2.0,14.0,20.0,27.0,37.0,48.0,47.0,37.0,25.0
1980-01-01,1.14,0.89,2.14,2.91,3.53,0.08,1.15,0.62,0.7,0.65,35.81,42.66,46.87,60.03,66.65,86.03,88.19,83.42,78.27,64.03,23.66,29.9,35.32,46.23,54.35,69.18,73.55,69.27,62.55,48.92,11.52,17.14,23.77,32.43,42.06,52.33,58.9,55.13,46.83,33.81,59.0,65.0,67.0,84.0,81.0,95.0,97.0,96.0,91.0,84.0,-14.0,-9.0,5.0,14.0,33.0,43.0,53.0,46.0,37.0,19.0
1981-01-01,0.51,0.06,1.59,1.12,4.21,0.37,1.98,1.5,1.22,0.75,48.0,50.07,52.13,69.13,65.16,82.7,86.06,81.71,79.5,62.61,33.08,34.48,40.29,54.18,54.68,68.65,72.06,68.56,64.58,49.18,18.16,18.89,28.45,39.23,44.19,54.6,58.06,55.42,49.67,35.74,60.0,71.0,67.0,84.0,83.0,93.0,96.0,93.0,89.0,77.0,5.0,-14.0,19.0,23.0,32.0,41.0,50.0,51.0,40.0,22.0
1982-01-01,0.25,0.05,0.73,0.38,4.98,4.28,4.86,0.45,3.51,0.74,42.13,47.25,53.74,63.6,68.71,75.66,85.45,84.77,71.5,62.0,27.95,31.54,40.89,47.18,55.18,62.02,70.97,71.61,59.52,48.29,13.77,15.82,28.03,30.77,41.65,48.38,56.48,58.45,47.53,34.58,71.0,73.0,67.0,80.0,84.0,93.0,98.0,91.0,87.0,75.0,-6.0,-17.0,15.0,17.0,28.0,39.0,48.0,50.0,38.0,20.0
1983-01-01,0.43,0.04,2.89,4.1,3.21,3.52,1.57,1.02,0.28,0.17,47.58,50.18,49.1,52.5,65.45,76.07,86.07,87.45,78.83,66.26,33.52,36.64,38.13,40.95,52.48,62.45,71.83,73.77,62.6,51.31,19.45,23.11,27.17,29.4,39.52,48.83,57.68,60.1,46.37,36.35,66.0,63.0,67.0,71.0,86.0,95.0,94.0,94.0,93.0,77.0,8.0,8.0,10.0,8.0,29.0,38.0,50.0,54.0,26.0,25.0
1984-01-01,0.56,0.39,1.46,3.4,2.18,2.23,1.96,0.57,0.8,2.53,38.97,46.41,50.16,54.23,73.48,77.83,86.29,84.06,73.93,57.16,25.26,34.21,38.02,42.72,58.98,64.28,72.45,70.82,59.65,45.06,11.55,22.0,25.87,31.2,44.48,50.73,58.61,57.58,45.37,32.97,64.0,59.0,66.0,77.0,88.0,89.0,94.0,91.0,90.0,75.0,-28.0,11.0,16.0,17.0,33.0,40.0,51.0,53.0,28.0,22.0
1985-01-01,0.8,0.25,0.35,2.11,0.97,2.77,3.71,0.24,1.37,1.17,37.55,39.36,55.97,66.8,73.74,80.57,84.94,85.16,71.1,63.9,24.55,26.32,41.13,51.87,59.61,66.05,71.29,69.55,57.62,48.56,11.55,13.29,26.29,36.93,45.48,51.53,57.65,53.94,44.13,33.23,56.0,58.0,75.0,84.0,85.0,95.0,99.0,95.0,86.0,74.0,-15.0,-15.0,8.0,24.0,31.0,39.0,52.0,46.0,18.0,21.0
1986-01-01,0.16,0.26,1.04,2.03,1.45,1.18,0.95,1.21,0.74,1.58,50.26,48.57,60.94,61.73,69.52,82.63,85.19,83.13,71.23,61.68,36.18,35.68,46.48,49.08,56.29,68.33,71.06,69.29,58.8,48.6,22.1,22.79,32.03,36.43,43.06,54.03,56.94,55.45,46.37,35.52,65.0,76.0,79.0,78.0,84.0,95.0,94.0,98.0,81.0,75.0,7.0,-5.0,23.0,23.0,36.0,40.0,51.0,49.0,35.0,24.0
