,crop,thru_month,model,r2_score,rmse
0,corn,4,RandomForestRegressor,0.079,19.67
1,barley,4,RandomForestRegressor,0.292,14.97
2,barley,4,GradientBoostingRegressor,0.533,12.16
3,barley,4,DecisionTreeRegressor,0.176,16.15
4,wheat,4,RandomForestRegressor,0.397,6.27
5,wheat,4,GradientBoostingRegressor,0.369,6.41
6,wheat,4,DecisionTreeRegressor,0.285,6.83
7,corn,5,RandomForestRegressor,0.351,16.51
8,corn,5,GradientBoostingRegressor,0.335,16.72
9,barley,5,RandomForestRegressor,0.187,16.05
10,barley,5,GradientBoostingRegressor,0.055,17.29
11,oats,5,ElasticNet,0.104,20.78
12,wheat,5,Ridge,0.129,7.53
13,wheat,5,RandomForestRegressor,0.257,6.95
14,wheat,5,GradientBoostingRegressor,0.414,6.17
15,corn,6,RandomForestRegressor,0.325,16.84
16,corn,6,GradientBoostingRegressor,0.332,16.75
17,barley,6,RandomForestRegressor,0.189,16.03
18,barley,6,GradientBoostingRegressor,0.18,16.11
19,wheat,6,RandomForestRegressor,0.187,7.28
20,wheat,6,GradientBoostingRegressor,0.359,6.46
21,corn,7,RandomForestRegressor,0.202,18.31
22,corn,7,GradientBoostingRegressor,0.051,19.97
23,corn,7,DecisionTreeRegressor,0.155,18.84
24,barley,7,RandomForestRegressor,0.18,16.11
25,barley,7,GradientBoostingRegressor,0.38,14.01
26,barley,7,DecisionTreeRegressor,0.293,14.96
27,wheat,7,RandomForestRegressor,0.314,6.68
28,wheat,7,GradientBoostingRegressor,0.353,6.49
29,corn,8,RandomForestRegressor,0.301,17.14
30,corn,8,GradientBoostingRegressor,0.075,19.71
31,corn,8,DecisionTreeRegressor,0.493,14.59
32,barley,8,RandomForestRegressor,0.128,16.62
33,barley,8,GradientBoostingRegressor,0.206,15.86
34,barley,8,DecisionTreeRegressor,0.17,16.2
35,oats,8,RandomForestRegressor,0.08,21.06
36,wheat,8,RandomForestRegressor,0.397,6.27
37,wheat,8,GradientBoostingRegressor,0.622,4.96
38,corn,9,RandomForestRegressor,0.433,15.44
39,corn,9,DecisionTreeRegressor,0.475,14.84
40,barley,9,RandomForestRegressor,0.259,15.31
41,barley,9,GradientBoostingRegressor,0.27,15.21
42,barley,9,DecisionTreeRegressor,0.32,14.67
43,oats,9,RandomForestRegressor,0.024,21.69
44,wheat,9,RandomForestRegressor,0.371,6.4
45,wheat,9,GradientBoostingRegressor,0.596,5.13
46,corn,10,RandomForestRegressor,0.343,16.61
47,barley,10,RandomForestRegressor,0.179,16.12
48,barley,10,GradientBoostingRegressor,0.27,15.2
49,barley,10,DecisionTreeRegressor,0.193,15.98
50,wheat,10,RandomForestRegressor,0.307,6.72
51,wheat,10,GradientBoostingRegressor,0.667,4.65
