,crop,thru_month,model,r2_score,rmse
0,corn,4,Ridge,0.128,31.42
1,corn,4,RidgeCV,0.349,27.14
2,corn,4,Lasso,0.326,27.61
3,corn,4,ElasticNet,0.365,26.8
4,corn,4,BayesianRidge,0.041,32.95
5,corn,4,RandomForestRegressor,0.042,32.93
6,corn,5,BayesianRidge,0.102,31.89
7,corn,6,ElasticNet,0.198,30.14
8,corn,6,BayesianRidge,0.129,31.4
9,wheat,6,RandomForestRegressor,0.071,7.46
10,corn,7,ElasticNet,0.244,29.25
11,corn,7,BayesianRidge,0.221,29.69
12,wheat,7,RandomForestRegressor,0.307,6.44
13,wheat,7,GradientBoostingRegressor,0.211,6.87
14,corn,8,ElasticNet,0.073,32.4
15,corn,8,BayesianRidge,0.198,30.13
16,wheat,8,RandomForestRegressor,0.198,6.93
17,wheat,8,GradientBoostingRegressor,0.194,6.95
18,corn,9,ElasticNet,0.055,32.7
19,corn,9,BayesianRidge,0.204,30.02
20,wheat,9,RandomForestRegressor,0.306,6.45
21,wheat,9,GradientBoostingRegressor,0.207,6.89
22,corn,10,BayesianRidge,0.399,26.08
23,wheat,10,RandomForestRegressor,0.344,6.27
